path;Gallica[url];IIIF[url];Classe[tag];ARK[text]
Guy_de_Warvich_chevalier_dAngleterre_qui_view_41_num_15r-Lettrine_0.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f41/pct:11.93,76.47,10.73,7.97/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_128_num_58v-Lettrine_1.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f128.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f128/pct:13.25,37.51,10.88,7.93/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guillermi_Le_Rouille_Justicie_atque_injusticie_view_72_num_XXVIIIv-Lettrine_2.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f72.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f72/pct:50.49,21.04,14.18,11.2/max/0/default.jpg;Lettrine;ark:/12148/bpt6k3163114
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_3.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:37.05,66.23,39.52,10.24/max/0/default.jpg;Ornement;ark:/12148/bpt6k1519350c
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_4.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:76.4,66.17,5.53,10.18/max/0/default.jpg;Ornement;ark:/12148/bpt6k1519350c
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_5.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:21.37,18.31,15.35,58.68/max/0/default.jpg;Ornement;ark:/12148/bpt6k1519350c
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_6.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:35.23,3.96,52.15,4.33/max/0/default.jpg;Ornement;ark:/12148/bpt6k1519350c
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_7.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:21.37,76.46,74.09,9.66/max/0/default.jpg;Ornement;ark:/12148/bpt6k1519350c
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Vignette_8.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:20.71,4.7,14.69,13.56/max/0/default.jpg;Vignette;ark:/12148/bpt6k1519350c
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Vignette_9.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:81.68,62.8,13.84,13.71/max/0/default.jpg;Vignette;ark:/12148/bpt6k1519350c
Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_10.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:87.87,5.49,7.35,57.1/max/0/default.jpg;Ornement;ark:/12148/bpt6k1519350c
Guy_de_Warvich_chevalier_dAngleterre_qui_view_77_num_33r-Lettrine_11.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f77.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f77/pct:50.38,81.82,10.63,7.77/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_53_num_21r-Lettrine_12.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f53.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f53/pct:49.75,27.42,11.03,7.78/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guillermi_Le_Rouille_Justicie_atque_injusticie_view_57_num_XXIr-Vignette_13.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f57.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f57/pct:14.57,7.14,76.82,83.09/max/0/default.jpg;Vignette;ark:/12148/bpt6k3163114
Guillermi_Le_Rouille_Justicie_atque_injusticie_view_26_num_Vv-Lettrine_14.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f26.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f26/pct:15.18,22.1,15.01,10.98/max/0/default.jpg;Lettrine;ark:/12148/bpt6k3163114
Guillermi_Le_Rouille_Justicie_atque_injusticie_view_26_num_Vv-Lettrine_15.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f26.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f26/pct:51.96,29.66,14.84,11.1/max/0/default.jpg;Lettrine;ark:/12148/bpt6k3163114
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_16.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:24.54,29.19,27.85,20.18/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_17.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:24.85,49.77,27.78,20.75/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_18.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:54.17,71.09,28.59,16.69/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_19.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:24.38,8.44,27.78,19.9/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_20.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:52.7,8.21,27.39,19.78/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_21.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:26.39,70.98,27.78,18.64/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_22.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:53.16,28.45,28.01,20.3/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_23.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:53.16,49.6,27.55,20.13/max/0/default.jpg;Lettrine;ark:/12148/bpt6k70184j
Guy_de_Warvich_chevalier_dAngleterre_qui_view_67_num_28r-Lettrine_24.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f67.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f67/pct:47.95,5.99,11.57,8.66/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_152_num_70v-Lettrine_25.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f152.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f152/pct:52.23,36.63,16.74,11.71/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_64_num_26v-Lettrine_26.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f64.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f64/pct:15.41,14.55,10.95,7.43/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_78_num_33v-Lettrine_27.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f78.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f78/pct:12.77,62.59,11.35,7.83/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_142_num_65v-Lettrine_28.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f142.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f142/pct:51.32,18.64,11.07,7.82/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guillermi_Le_Rouille_Justicie_atque_injusticie_view_5_num_NP-Vignette_29.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f5.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f5/pct:13.11,5.5,72.52,84.51/max/0/default.jpg;Vignette;ark:/12148/bpt6k3163114
Guillermi_Le_Rouille_Justicie_atque_injusticie_view_74_num_XXIXv-Vignette_30.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f74.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f74/pct:39.34,64.06,21.8,24.71/max/0/default.jpg;Vignette;ark:/12148/bpt6k3163114
Grammaticae_institutionis_libri_quatuor__latine_view_53_num_d3r-Lettrine_31.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k994500n/f53.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k994500n/f53/pct:8.85,16.43,21.54,11.36/max/0/default.jpg;Lettrine;ark:/12148/bpt6k994500n
Guy_de_Warvich_chevalier_dAngleterre_qui_view_75_num_32r-Ornement_32.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f75.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f75/pct:56.04,30.72,29.75,7.18/max/0/default.jpg;Ornement;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_75_num_32r-Ornement_33.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f75.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f75/pct:50.31,6.04,5.5,31.79/max/0/default.jpg;Ornement;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_75_num_32r-Vignette_34.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f75.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f75/pct:56.11,8.19,31.06,22.73/max/0/default.jpg;Vignette;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_75_num_32r-Ornement_35.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f75.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f75/pct:56.11,5.49,30.89,2.94/max/0/default.jpg;Ornement;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_75_num_32r-Lettrine_36.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f75.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f75/pct:50.1,38.51,11.08,8.06/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Guy_de_Warvich_chevalier_dAngleterre_qui_view_75_num_32r-Lettrine_37.jpg;https://gallica.bnf.fr/ark:/12148/btv1b86000632/f75.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f75/pct:49.76,80.92,11.17,7.83/max/0/default.jpg;Lettrine;ark:/12148/btv1b86000632
Ces_presentes_Heures_a_lusaige_de_view_280_num_NP-Ornement_38.jpg;https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f280.item;https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f280/pct:34.25,67.23,39.1,10.42/max/0/default.jpg;Ornement;ark:/12148/bpt6k1519350c
