ARK,Vue,Image_filename,Annotation_filename,Category_name,Gallica,IIIF,Confidence
ark:/12148/btv1b86000632,41,Guy_de_Warvich_chevalier_dAngleterre_qui_view_41_num_15r_jpg.rf.e25ad19f375920354090b21213c8130d.jpg,btv1b86000632/Guy_de_Warvich_chevalier_dAngleterre_qui_view_41_num_15r-Lettrine_0.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/btv1b86000632/f41.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f41/pct:11.93,76.47,10.73,7.97/max/0/default.jpg",1.0
ark:/12148/btv1b86000632,128,Guy_de_Warvich_chevalier_dAngleterre_qui_view_128_num_58v_jpg.rf.8c293272c9709f55d1c3e72b7cca7c39.jpg,btv1b86000632/Guy_de_Warvich_chevalier_dAngleterre_qui_view_128_num_58v-Lettrine_1.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/btv1b86000632/f128.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f128/pct:13.25,37.51,10.88,7.93/max/0/default.jpg",1.0
ark:/12148/bpt6k3163114,72,Guillermi_Le_Rouille_Justicie_atque_injusticie_view_72_num_XXVIIIv_jpg.rf.f08b559dbe9c39a7c712229c515a9208.jpg,bpt6k3163114/Guillermi_Le_Rouille_Justicie_atque_injusticie_view_72_num_XXVIIIv-Lettrine_2.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f72.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f72/pct:50.49,21.04,14.18,11.2/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_3.jpg,Ornement,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:37.05,66.23,39.52,10.24/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_4.jpg,Ornement,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:76.4,66.17,5.53,10.18/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_5.jpg,Ornement,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:21.37,18.31,15.35,58.68/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_6.jpg,Ornement,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:35.23,3.96,52.15,4.33/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_7.jpg,Ornement,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:21.37,76.46,74.09,9.66/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Vignette_8.jpg,Vignette,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:20.71,4.7,14.69,13.56/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Vignette_9.jpg,Vignette,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:81.68,62.8,13.84,13.71/max/0/default.jpg",1.0
ark:/12148/bpt6k1519350c,216,Ces_presentes_Heures_a_lusaige_de_view_216_num_NP_jpg.rf.aee7e7d2fb910cca1cac01e5d8772170.jpg,bpt6k1519350c/Ces_presentes_Heures_a_lusaige_de_view_216_num_NP-Ornement_10.jpg,Ornement,https://gallica.bnf.fr/ark:/12148/bpt6k1519350c/f216.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k1519350c/f216/pct:87.87,5.49,7.35,57.1/max/0/default.jpg",1.0
ark:/12148/btv1b86000632,77,Guy_de_Warvich_chevalier_dAngleterre_qui_view_77_num_33r_jpg.rf.d29af3a3c1b5bae1c49998a0f9aa2e15.jpg,btv1b86000632/Guy_de_Warvich_chevalier_dAngleterre_qui_view_77_num_33r-Lettrine_11.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/btv1b86000632/f77.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f77/pct:50.38,81.82,10.63,7.77/max/0/default.jpg",1.0
ark:/12148/btv1b86000632,53,Guy_de_Warvich_chevalier_dAngleterre_qui_view_53_num_21r_jpg.rf.7730fb1dc7d3d0926fd15e98c21ade5f.jpg,btv1b86000632/Guy_de_Warvich_chevalier_dAngleterre_qui_view_53_num_21r-Lettrine_12.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/btv1b86000632/f53.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/btv1b86000632/f53/pct:49.75,27.42,11.03,7.78/max/0/default.jpg",1.0
ark:/12148/bpt6k3163114,57,Guillermi_Le_Rouille_Justicie_atque_injusticie_view_57_num_XXIr_jpg.rf.d505b57f4fecb940417ad0512d14de07.jpg,bpt6k3163114/Guillermi_Le_Rouille_Justicie_atque_injusticie_view_57_num_XXIr-Vignette_13.jpg,Vignette,https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f57.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f57/pct:14.57,7.14,76.82,83.09/max/0/default.jpg",1.0
ark:/12148/bpt6k3163114,26,Guillermi_Le_Rouille_Justicie_atque_injusticie_view_26_num_Vv_jpg.rf.6eeddd4320072bf1605dc7bdcd310303.jpg,bpt6k3163114/Guillermi_Le_Rouille_Justicie_atque_injusticie_view_26_num_Vv-Lettrine_14.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f26.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f26/pct:15.18,22.1,15.01,10.98/max/0/default.jpg",1.0
ark:/12148/bpt6k3163114,26,Guillermi_Le_Rouille_Justicie_atque_injusticie_view_26_num_Vv_jpg.rf.6eeddd4320072bf1605dc7bdcd310303.jpg,bpt6k3163114/Guillermi_Le_Rouille_Justicie_atque_injusticie_view_26_num_Vv-Lettrine_15.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k3163114/f26.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k3163114/f26/pct:51.96,29.66,14.84,11.1/max/0/default.jpg",1.0
ark:/12148/bpt6k70184j,41,Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20_jpg.rf.f4c5b6d39e8fb683554c004d70d2fc2a.jpg,bpt6k70184j/Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_16.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:24.54,29.19,27.85,20.18/max/0/default.jpg",1.0
ark:/12148/bpt6k70184j,41,Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20_jpg.rf.f4c5b6d39e8fb683554c004d70d2fc2a.jpg,bpt6k70184j/Ars_memorativa_Gulielmi_Leporei_avallonensis_view_41_num_20-Lettrine_17.jpg,Lettrine,https://gallica.bnf.fr/ark:/12148/bpt6k70184j/f41.item,"https://openapi.bnf.fr/iiif/image/v3/ark:/12148/bpt6k70184j/f41/pct:24.85,49.77,27.78,20.75/max/0/default.jpg",1.0
